"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 26 13:54:54 GMT 2025","Sat Jul 26 13:54:54 GMT 2025","410","","api.tests.CartApiSuitSmokeTests","","api.tests.CartApiSuitSmokeTests","deleteItemTest","deleteItemTest()",""
"passed","Sat Jul 26 13:55:18 GMT 2025","Sat Jul 26 13:55:45 GMT 2025","26898","","ui.pages.FastShopPageTests","","ui.pages.FastShopPageTests","addItemToBag","addItemToBag()",""
"skipped","Sat Jul 26 13:55:06 GMT 2025","Sat Jul 26 13:55:06 GMT 2025","0","","ui.pages.CreateAccountPageTests","","ui.pages.CreateAccountPageTests","createAccountSuccess","createAccountSuccess()",""
"passed","Sat Jul 26 13:55:55 GMT 2025","Sat Jul 26 13:55:59 GMT 2025","3697","","ui.pages.HeaderComponentTests","","ui.pages.HeaderComponentTests","openHdrAcntBttnTest","openHdrAcntBttnTest()","Open Account icon is present in header component, clickable and closable"
"broken","Sat Jul 26 13:56:06 GMT 2025","Sat Jul 26 13:56:06 GMT 2025","0","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","","MenuComponentTests",""
"skipped","Sat Jul 26 13:58:50 GMT 2025","Sat Jul 26 13:58:50 GMT 2025","0","","ui.pages.SignInPageTests","","ui.pages.SignInPageTests","signInTest","signInTest()",""
"passed","Sat Jul 26 13:54:55 GMT 2025","Sat Jul 26 13:54:55 GMT 2025","316","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","getSearchResultByGenderTest","getSearchResultByGenderTest()",""
"passed","Sat Jul 26 13:55:01 GMT 2025","Sat Jul 26 13:55:06 GMT 2025","5101","","ui.pages.AccountSideBarPageTests","","ui.pages.AccountSideBarPageTests","openCreateAccountPageTest","openCreateAccountPageTest()","Open Create Account page"
"passed","Sat Jul 26 13:56:09 GMT 2025","Sat Jul 26 13:56:16 GMT 2025","6314","","ui.pages.SearchSideBarPageTests","","ui.pages.SearchSideBarPageTests","enterForSearch","enterForSearch()","Get search input"
"broken","Sat Jul 26 13:56:16 GMT 2025","Sat Jul 26 13:56:34 GMT 2025","17872","","ui.pages.ShoppingBagPageTests","","ui.pages.ShoppingBagPageTests","checkItemColorInBag","checkItemColorInBag()",""
"passed","Sat Jul 26 13:55:45 GMT 2025","Sat Jul 26 13:55:51 GMT 2025","6542","","ui.pages.HeaderComponentTests","","ui.pages.HeaderComponentTests","openHdrCartBttnTest","openHdrCartBttnTest()","Open Cart icon is present in header component, clickable and go home page"
"passed","Sat Jul 26 13:54:54 GMT 2025","Sat Jul 26 13:54:54 GMT 2025","165","","api.tests.CartApiTests","","api.tests.CartApiTests","addMinImpossibleItemsTest","addMinImpossibleItemsTest()",""
"skipped","Sat Jul 26 13:54:56 GMT 2025","Sat Jul 26 13:54:56 GMT 2025","0","","ui.pages.AccountSideBarPageTests","","ui.pages.AccountSideBarPageTests","signOutTest","signOutTest()",""
"failed","Sat Jul 26 13:56:55 GMT 2025","Sat Jul 26 13:57:21 GMT 2025","25592","","ui.pages.ShoppingBagPageTests","","ui.pages.ShoppingBagPageTests","checkItemQtyInBag","checkItemQtyInBag()",""
"passed","Sat Jul 26 13:55:59 GMT 2025","Sat Jul 26 13:56:02 GMT 2025","3178","","ui.pages.HeaderComponentTests","","ui.pages.HeaderComponentTests","checkLogoAEHeaderTest","checkLogoAEHeaderTest()","Check AE logo"
"passed","Sat Jul 26 13:54:55 GMT 2025","Sat Jul 26 13:54:55 GMT 2025","184","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","getZeroResultsTest","getZeroResultsTest()",""
"passed","Sat Jul 26 13:56:02 GMT 2025","Sat Jul 26 13:56:05 GMT 2025","3071","","ui.pages.HomePageTests","","ui.pages.HomePageTests","openHomePageTest","openHomePageTest()","Open home page"
